rung,scenario_id,trial,verdict
R2,r-0278,2,1
R2,r-0278,3,0
R2,r-0279,1,0
R2,r-0279,2,1
R2,r-0279,3,1
R2,r-0280,1,0
R2,r-0280,2,1
R2,r-0280,3,1
R2,r-0281,1,1
R2,r-0281,2,1
R2,r-0281,3,1
R2,r-0282,1,1
R2,r-0282,2,1
R2,r-0282,3,1
R2,r-0283,1,0
R2,r-0283,2,0
R2,r-0283,3,1
R2,r-0284,1,0
R2,r-0284,2,1
R2,r-0284,3,1
R2,r-0285,1,0
R2,r-0285,2,0
R2,r-0285,3,1
R2,r-0286,1,0
R2,r-0286,2,1
R2,r-0286,3,1
R2,r-0287,1,1
R2,r-0287,2,1
R2,r-0287,3,1
R2,r-0288,1,1
R2,r-0288,2,1
R2,r-0288,3,1
R2,r-0289,1,1
R2,r-0289,2,1
R2,r-0289,3,0
R2,r-0290,1,0
R2,r-0290,2,1
R2,r-0290,3,0
R2,r-0291,1,0
R2,r-0291,2,0
R2,r-0291,3,1
R2,r-0292,1,1
R2,r-0292,2,1
R2,r-0292,3,1
R2,r-0293,1,0
R2,r-0293,2,0
R2,r-0293,3,1
R2,r-0294,1,1
R2,r-0294,2,1
R2,r-0294,3,0
R2,r-0295,1,0
R2,r-0295,2,1
R2,r-0295,3,0
R2,r-0296,1,0
R2,r-0296,2,1
R2,r-0296,3,1
R2,r-0297,1,1
R2,r-0297,2,1
R2,r-0297,3,1
R2,r-0298,1,1
R2,r-0298,2,1
R2,r-0298,3,0
R2,r-0299,1,1
R2,r-0299,2,1
R2,r-0299,3,1
R2,r-0300,1,0
R2,r-0300,2,1
R2,r-0300,3,0
R2,r-0301,1,1
R2,r-0301,2,1
R2,r-0301,3,0
R2,r-0302,1,1
R2,r-0302,2,0
R2,r-0302,3,0
R2,r-0303,1,0
R2,r-0303,2,1
R2,r-0303,3,0
R2,r-0304,1,1
R2,r-0304,2,1
R2,r-0304,3,0
R2,r-0305,1,0
R2,r-0305,2,0
R2,r-0305,3,1
R2,r-0306,1,1
R2,r-0306,2,1
R2,r-0306,3,1
R2,r-0307,1,1
R2,r-0307,2,1
